Social,Strain specific,Number of spots,Mean time,Standard deviation
False,True,1,957.036,60.11797321932937
False,True,2,957.362,59.08636861408896
False,True,4,958.95,56.612785658365176
False,False,1,959.51,60.45985362205241
False,False,2,959.976,59.2920519462769
False,False,4,955.586,57.2833885520052
